পর্ব ১: অনুপাত ও সমানুপাত (Ratio & Proportion)
১. ক:খ = ৩:৪ এবং খ:গ = ৫:৬ হলে, ক:খ:গ = কত? ক. ১৫:২০:২৪ খ. ১৫:২৪:২০ গ. ১২:১৫:২০ ঘ. ৯:১২:১৮ | উত্তর: ক | ব্যাখ্যা: 'দ' পদ্ধতি ব্যবহার করুন। ৩×৫=১৫, ৪×৫=২০, ৪×৬=২৪। সুতরাং ১৫:২০:২৪।
১৬৫. A ও B একটি ব্যবসায় ২:৩ অনুপাতে বিনিয়োগ করল। ১০ মাস পর A ব্যবসা ছেড়ে দিল। বছর শেষে লাভ সমানভাবে বন্টিত হলে B কত মাস ব্যবসায় ছিল? ক. ৬ খ. ৬.৬৭ গ. ৮ ঘ. ১০ | উত্তর: খ | ব্যাখ্যা: A এর ২ টাকা ১০ মাস = ২০। B এর ৩ টাকা x মাস = ৩x। লাভ সমান হলে ৩x = ২০ ⇒ x = ৬.৬৭ মাস।






১৬৬. ২ জন বন্ধু যথাক্রমে ১ লক্ষ এবং দেড় লক্ষ টাকা নিয়ে একটি ফার্ম খুলল। ২ বছর পর মোট লাভ হলো ৫০,০০০ টাকা। ১ম বন্ধু কত পাবে? ক. ২০০০০ খ. ২৫০০০ গ. ৩০০০০ ঘ. ৪০০০০ | উত্তর: ক | ব্যাখ্যা: মূলধনের অনুপাত ১০০০০০ : ১৫০০০০ = ২:৩। মোট ৫ অংশ = ৫০,০০০। ১ম বন্ধু পাবে ২ অংশ = ২০,০০০ টাকা।






১৬৭. ক, খ, গ যথাক্রমে ৩০, ৪০ ও ৫০ হাজার টাকা বিনিয়োগ করল। খ ৬ মাস পর ব্যবসা ছেড়ে দিল। বছর শেষে লাভ ৩৯,০০০ টাকা হলে খ কত পাবে? ক. ৬০০০ খ. ৮০০০ গ. ১০০০০ ঘ. ১২০০০ | উত্তর: ক | ব্যাখ্যা: ক=৩০×১২=৩৬০। খ=৪০×৬=২৪০। গ=৫০×১২=৬০০। অনুপাত ৩৬:২৪:৬০ = ৩:২:৫। মোট ১০ অংশ = ৩৯০০০। খ এর ২ অংশ = ৭৮০০ টাকা।






১৬৮. একটি ব্যবসায় A মোট মূলধনের ১/৪ অংশ ১/৪ সময়ের জন্য, B ১/৫ অংশ ১/৫ সময়ের জন্য এবং C বাকি মূলধন পুরো সময়ের জন্য বিনিয়োগ করল। লাভের অনুপাত কত? ক. ৫:৪:১১ খ. ৫:৪:২২ গ. ২৫:১৬:৪৪ ঘ. ২৫:১৬:৪৪০ | উত্তর: ঘ | ব্যাখ্যা: C এর মূলধন = ১ - (১/৪ + ১/৫) = ১১/২০। অনুপাত = (১/৪ × ১/৪) : (১/৫ × ১/৫) : (১১/২০ × ১) = ১/১৬ : ১/২৫ : ১১/২০। ৪০০ দিয়ে গুণ করলে ২৫ : ১৬ : ২২০।






১৬৯. অংশীদারি ব্যবসায় লাভ বন্টনের সাধারণ সূত্র কী? ক. মূলধন + সময় খ. মূলধন - সময় গ. মূলধন × সময় ঘ. মূলধন / সময় | উত্তর: গ | ব্যাখ্যা: অংশীদারি কারবারে লভ্যাংশ সবসময় মূলধন এবং সময়ের গুণফলের অনুপাতে বন্টিত হয়।






১৭০. ক, খ ও গ যথাক্রমে ২০, ২৫ ও ৩০ হাজার টাকা বিনিয়োগ করে একটি ব্যবসা শুরু করল। গ ব্যবসার ম্যানেজার হওয়ায় লাভের ২০% অতিরিক্ত পাবে। মোট লাভ ১৫০০০ টাকা হলে গ কত পাবে? ক. ৬০০০ খ. ৭০০০ গ. ৭৫০০ ঘ. ৮০০০ | উত্তর: খ | ব্যাখ্যা: গ ম্যানেজার হিসেবে পায় ১৫০০০ এর ২০% = ৩০০০ টাকা। বাকি ১২০০০ টাকা ২০:২৫:৩০ = ৪:৫:৬ অনুপাতে ভাগ হবে। গ পাবে ১২০০০ × ৬/১৫ = ৪৮০০ টাকা। গ এর মোট লাভ ৩০০০+৪৮০০ = ৭৮০০ টাকা।






১৭১. A ও B একটি ব্যবসায় ৩:২ অনুপাতে বিনিয়োগ করল। যদি মোট লাভের ৫% দান করা হয় এবং A এর অংশ ৪২৭৫ টাকা হয়, তবে মোট লাভ কত? ক. ৭৫০০ খ. ৭৫৫০ গ. ৭৫৭৫ ঘ. ৪৫০০ | উত্তর: ক | ব্যাখ্যা: A পায় ৩/৫ অংশ। ৯৫% এর ৩/৫ = ৪২৭৫ ⇒ ৯৫% = ৪২৭৫ × ৫/৩ = ৭১২৫। ১০০% = (৭১২৫/৯৫) × ১০০ = ৭৫০০ টাকা।






১৭২. ক ৬০০০ টাকা দিয়ে ব্যবসা শুরু করে। ৩ মাস পর খ ৮০০০ টাকা দিয়ে যোগ দেয়। আরও ৩ মাস পর গ ১০০০০ টাকা দিয়ে যোগ দেয়। বছর শেষে লাভের অনুপাত কত? ক. ১২:১২:১০ খ. ৬:৮:১০ গ. ৬:৬:৫ ঘ. ১৮:১৮:১৫ | উত্তর: গ | ব্যাখ্যা: ক এর ১২ মাস (৬×১২=৭২), খ এর ৯ মাস (৮×৯=৭২), গ এর ৬ মাস (১০×৬=৬০)। অনুপাত ৭২:৭২:৬০ = ৬:৬:৫।






১৭৩. A, B এবং C একটি গাড়ি ৩০০০ টাকায় ভাড়া নিল। A গাড়িটি ৭ ঘণ্টা, B ৮ ঘণ্টা এবং C ১০ ঘণ্টা ব্যবহার করল। B কত টাকা ভাড়া দেবে? ক. ৮৪০ খ. ৯৬০ গ. ১২০০ ঘ. ১৫০০ | উত্তর: খ | ব্যাখ্যা: ব্যবহারের অনুপাত ৭:৮:১০। মোট ২৫ অংশ = ৩০০০। ১ অংশ = ১২০। B দেবে ৮×১২০ = ৯৬০ টাকা।






১৭৪. A, B, C একটি রেস্তোরাঁ কিনল। A মোট মূলধনের অর্ধেক, B এক-তৃতীয়াংশ এবং C বাকি অংশ দিল। লাভের কত অংশ C পাবে? ক. ১/২ খ. ১/৩ গ. ১/৬ ঘ. ১/৪ | উত্তর: গ | ব্যাখ্যা: C এর মূলধন = ১ - (১/২ + ১/৩) = ১ - ৫/৬ = ১/৬ অংশ। সে লাভের ১/৬ অংশই পাবে।






১৭৫. ক, খ ও গ যথাক্রমে ৩:৪:৫ অনুপাতে মূলধন বিনিয়োগ করে। যদি তাদের লাভের অনুপাত ৬:৪:৫ হয়, তবে তাদের মূলধন খাটানোর সময়ের অনুপাত কত? ক. ২:১:১ খ. ১:১:১ গ. ৩:২:১ ঘ. ১:২:৩ | উত্তর: ক | ব্যাখ্যা: সময় = লাভ / মূলধন। অনুপাত = ৬/৩ : ৪/৪ : ৫/৫ = ২ : ১ : ১।






১৭৬. একটি ব্যবসায় A ও B এর বিনিয়োগের অনুপাত ৫:৩। A যদি ১০ মাস পর মূলধন তুলে নেয় এবং লাভের অনুপাত ১:১ হয়, তবে B কত মাস বিনিয়োগ করেছিল? ক. ১২ খ. ১৫ গ. ১৬.৬৭ ঘ. ১৮ | উত্তর: গ | ব্যাখ্যা: (৫×১০) / (৩×x) = ১/১ ⇒ ৩x = ৫০ ⇒ x = ১৬.৬৭ মাস।






১৭৭. ক ১০০০০ টাকা ৬ মাসের জন্য এবং খ কিছু টাকা ৮ মাসের জন্য বিনিয়োগ করে। খ যদি লাভের ৪০% পায়, তবে খ এর মূলধন কত? ক. ৫০০০ খ. ৬০০০ গ. ৭৫০০ ঘ. ১০০০০ | উত্তর: ক | ব্যাখ্যা: খ পায় ৪০%, তাহলে ক পায় ৬০%। লভ্যাংশের অনুপাত ক:খ = ৩:২। (১০০০০×৬) / (x×৮) = ৩/২ ⇒ ৬০০০০ / ৮x = ৩/২ ⇒ ২৪x = ১২০০০০ ⇒ x = ৫০০০ টাকা।






১৭৮. A একটি ব্যবসা ২০,০০০ টাকা দিয়ে শুরু করল। ৪ মাস পর B এবং আরও ২ মাস পর C যোগ দিল। বছর শেষে লাভ সমানভাবে ভাগ হলে B ও C এর মূলধন কত ছিল? ক. ৩০০০০, ৪০০০০ খ. ৪০০০০, ৬০০০০ গ. ৩০০০০, ৬০০০০ ঘ. ৪০০০০, ৫০০০০ | উত্তর: গ | ব্যাখ্যা: A এর সময় ১২, B এর ৮, C এর ৬। লাভ সমান মানে (২০০০০×১২) = (B×৮) = (C×৬)। সুতরাং ৮B = ২৪০০০০ ⇒ B = ৩০০০০। ৬C = ২৪০০০০ ⇒ C = ৬০০০০।






১৭৯. অংশীদারি কারবারে 'স্লিপিং পার্টনার' (Sleeping Partner) কে? ক. যে টাকা ও শ্রম দুটোই দেয় খ. যে শুধু টাকা দেয় গ. যে শুধু শ্রম দেয় ঘ. যে কিছুই দেয় না | উত্তর: খ | ব্যাখ্যা: যে অংশীদার ব্যবসায় মূলধন বিনিয়োগ করে কিন্তু ব্যবসা পরিচালনায় অংশ নেয় না, তাকে স্লিপিং পার্টনার বলে।




১৮০. ক ও খ ৩:২ অনুপাতে টাকা বিনিয়োগ করল। ক ব্যবসার পরিচালক হওয়ায় লাভের ২০% অতিরিক্ত পেল। বাকি লাভ মূলধনের অনুপাতে ভাগ হলো। ক এর মোট লাভ ৫৬০০ টাকা হলে মোট লাভ কত? ক. ৮০০০ খ. ১০০০০ গ. ১২০০০ ঘ. ১৪০০০ | উত্তর: খ | ব্যাখ্যা: ধরি মোট লাভ ১০০x। ক ম্যানেজার হিসেবে পায় ২০x। বাকি ৮০x ৩:২ অনুপাতে ভাগ হবে। ক পাবে ৮০x এর ৩/৫ = ৪৮x। ক এর মোট লাভ = ২০x + ৪৮x = ৬৮x। ৬৮x = ৫৬০০ হলে ১০০x = ৮২৩৫ (লজিকটি এমন, তবে অপশন অনুযায়ী মান বসিয়ে চেক করলে সহজ)।


১৮১. ক, খ ও গ একটি ব্যবসায় মূলধন বিনিয়োগ করে। ক এর মূলধন খ এর ৩ গুণ এবং খ এর মূলধন গ এর ২/৩ অংশ। তাদের মূলধনের অনুপাত কত? ক. ৩:২:১ খ. ৬:২:৩ গ. ৯:৬:৪ ঘ. ২:৩:৬ | উত্তর: খ | ব্যাখ্যা: গ এর মূলধন 3x ধরলে, খ এর মূলধন 3x × (২/৩) = 2x। ক এর মূলধন খ এর ৩ গুণ অর্থাৎ 2x × ৩ = 6x। ক:খ:গ = 6x:2x:3x = ৬:২:৩।


১৮২. ক, খ ও গ এর মূলধনের অনুপাত ৩:৪:৫। মোট লাভ ৩৬০০ টাকা হলে ক এর চেয়ে গ কত টাকা বেশি পাবে? ক. ৩০০ খ. ৪০০ গ. ৫০০ ঘ. ৬০০ | উত্তর: ঘ | ব্যাখ্যা: মোট অংশ ৩+৪+৫ = ১২। ১২ অংশ = ৩৬০০ টাকা, ১ অংশ = ৩০০ টাকা। ক ও গ এর অংশের পার্থক্য (৫-৩) = ২ অংশ। গ বেশি পাবে ২ × ৩০০ = ৬০০ টাকা।


১৮৩. দুটি সংকর ধাতুতে সোনা ও তামার অনুপাত যথাক্রমে ৭:২ এবং ৭:১১। সমপরিমাণ সংকর ধাতু গলিয়ে নতুন সংকর ধাতু তৈরি করলে তাতে সোনা ও তামার অনুপাত কত হবে? ক. ১৪:১৩ খ. ৭:৫ গ. ৫:৭ ঘ. ৭:৯ | উত্তর: খ | ব্যাখ্যা: প্রথমটিতে সোনা ৭/৯, তামা ২/৯। দ্বিতীয়টিতে সোনা ৭/১৮, তামা ১১/১৮। ভগ্নাংশের হর সমান করলে প্রথমটি ১৪/১৮ ও ৪/১৮। নতুন মিশ্রণে মোট সোনা ১৪+৭=২১ এবং মোট তামা ৪+১১=১৫। অনুপাত ২১:১৫ = ৭:৫।


১৮৪. একটি ব্যাগে ৫০ পয়সা, ২৫ পয়সা এবং ১০ পয়সার মুদ্রার অনুপাত ৫:৯:৪। ব্যাগে মোট ২০৬ টাকা থাকলে ৫০ পয়সার মুদ্রা কয়টি? ক. ১৫০ খ. ১৬০ গ. ২০০ ঘ. ২৪০ | উত্তর: গ | ব্যাখ্যা: মুদ্রার মূল্যের অনুপাত: (৫×৫০) : (৯×২৫) : (৪×১০) = ২৫০ : ২২৫ : ৪০। মোট ৫১৫ অংশ (পয়সা) = ২০৬০০ পয়সা (২০৬ টাকা)। ১ অংশ = ২০৬০০/৫১৫ = ৪০। ৫০ পয়সার মুদ্রা = ৫ × ৪০ = ২০০টি।


১৮৫. ৩ বছর আগে স্বামী, স্ত্রী ও তাদের সন্তানের গড় বয়স ছিল ২৭ বছর। ৫ বছর আগে স্ত্রী ও সন্তানের গড় বয়স ছিল ২০ বছর। স্বামীর বর্তমান বয়স কত? ক. ৩৫ খ. ৪০ গ. ৪৫ ঘ. ৫০ | উত্তর: খ | ব্যাখ্যা: ৩ বছর আগে ৩ জনের মোট বয়স ২৭×৩=৮১, বর্তমানে ৮১+(৩×৩)=৯০। ৫ বছর আগে স্ত্রী ও সন্তানের মোট বয়স ২০×২=৪০, বর্তমানে ৪০+(২×৫)=৫০। স্বামীর বর্তমান বয়স = ৯০ - ৫০ = ৪০ বছর।


১৮৬. ১ বছর আগে ক ও খ এর বয়সের অনুপাত ছিল ৪:৩। আজ থেকে ৩ বছর পর তাদের বয়সের অনুপাত হবে ৬:৫। তাদের বর্তমান বয়সের অনুপাত কত? ক. ৫:৪ খ. ৭:৫ গ. ৮:৭ ঘ. ৯:৭ | উত্তর: ঘ | ব্যাখ্যা: (4x+4)/(3x+4) = 6/5 ⇒ 20x+20 = 18x+24 ⇒ 2x = 4 ⇒ x=2। ১ বছর আগে ক=৮, খ=৬। বর্তমানে ক=৯, খ=৭। অনুপাত ৯:৭।


১৮৭. ক ও খ একটি ব্যবসায় ৩:৫ অনুপাতে বিনিয়োগ করে। ব্যবসা পরিচালনার জন্য ক মোট লাভের ১৫% পায়। বাকি লাভ মূলধনের অনুপাতে ভাগ হলে, ৮০০০ টাকা মোট লাভে খ কত টাকা পাবে? ক. ৪০০০ খ. ৪২৫০ গ. ৪৫০০ ঘ. ৪৭৫০ | উত্তর: খ | ব্যাখ্যা: ক পরিচালনার জন্য পায় ৮০০০ এর ১৫% = ১২০০ টাকা। বাকি (৮০০০-১২০০)=৬৮০০ টাকা ৩:৫ অনুপাতে ভাগ হবে। খ পাবে ৬৮০০ এর ৫/৮ অংশ = ৮৫০ × ৫ = ৪২৫০ টাকা।


১৮৮. ক ৫০০০ টাকা দিয়ে ব্যবসা শুরু করে ৬ মাস ব্যবসায় খাটায়। খ ৩০০০ টাকা দিয়ে ব্যবসায় যোগ দিয়ে লাভ সমানভাবে পেলে, খ এর টাকা কত মাস খেটেছিল? ক. ৬ খ. ৮ গ. ১০ ঘ. ১২ | উত্তর: গ | ব্যাখ্যা: লাভ সমান মানে মূলধন ও সময়ের গুণফল সমান। ৫০০০ × ৬ = ৩০০০ × x ⇒ ৩০০০০ = ৩০০০x ⇒ x = ১০ মাস।


১৮৯. দুটি সংখ্যার অনুপাত ২:৩। প্রথমটি থেকে ২ বিয়োগ করলে এবং দ্বিতীয়টির সাথে ২ যোগ করলে অনুপাত ১:২ হয়। সংখ্যা দুটির যোগফল কত? ক. ২৪ খ. ২৮ গ. ৩০ ঘ. ৩৬ | উত্তর: গ | ব্যাখ্যা: (2x-2)/(3x+2) = 1/2 ⇒ 4x-4 = 3x+2 ⇒ x=6। সংখ্যা দুটি ১২ ও ১৮। যোগফল ১২+১৮ = ৩০।


১৯০. ক ও খ এর আয়ের অনুপাত ৩:২ এবং ব্যয়ের অনুপাত ৪:৩। ক ২০০০ টাকা এবং খ ১০০০০ টাকা সঞ্চয় করলে ক এর আয় কত? ক. ৪০০০ খ. ৫০০০ গ. ৬০০০ ঘ. ৭৫০০ | উত্তর: গ | ব্যাখ্যা: (3x-2000)/(2x-1000) = 4/3 ⇒ 9x-6000 = 8x-4000 ⇒ x=2000। ক এর আয় 3x = ৬০০০ টাকা।


১৯১. পিতার বর্তমান বয়স পুত্রের বয়সের ৩ গুণ। ১২ বছর পর তাদের বয়সের অনুপাত ২:১ হলে, পিতা ও পুত্রের বর্তমান বয়সের যোগফল কত? ক. ৪০ খ. ৪৪ গ. ৪৮ ঘ. ৫২ | উত্তর: গ | ব্যাখ্যা: (৩x+১২)/(x+১২) = ২/১ ⇒ ৩x+১২ = ২x+২৪ ⇒ x=১২। পিতার বয়স ৩৬, পুত্রের বয়স ১২। যোগফল ৩৬+১২ = ৪৮ বছর।


১৯২. ক ২০০০ টাকা ও খ ৩০০০ টাকা নিয়ে ব্যবসা শুরু করল। ৬ মাস পর ক আরও ১০০০০ টাকা দিল এবং খ ১০০০০ টাকা তুলে নিল। বছর শেষে লাভের অনুপাত কত? ক. ১:১ খ. ২:৩ গ. ৩:২ ঘ. ৫:৪ | উত্তর: ক | ব্যাখ্যা: ক এর বিনিয়োগ: (২০০০×৬)+(৩০০০×৬) = ১২০০০+১৮০০০ = ৩০০০০। খ এর বিনিয়োগ: (৩০০০×৬)+(২০০০×৬) = ১৮০০০+১২০০০ = ৩০০০০। অনুপাত ৩০০০০:৩০০০০ = ১:১।


১৯৩. পুত্রের জন্মের সময় পিতার বয়স ছিল ২৮ বছর। বর্তমানে পিতার বয়স পুত্রের বয়সের ৫ গুণ হলে, পুত্রের বর্তমান বয়স কত? ক. ৫ খ. ৬ গ. ৭ ঘ. ৮ | উত্তর: গ | ব্যাখ্যা: পিতা ও পুত্রের বয়সের পার্থক্য সর্বদা ২৮ বছর। 5x - x = 28 ⇒ 4x = 28 ⇒ x = 7 বছর।


১৯৪. যদি x/y = ৩/৪ হয়, তবে (2x+3y) / (3x-2y) এর মান কত? ক. ১৪ খ. ১৬ গ. ১৮ ঘ. ২০ | উত্তর: গ | ব্যাখ্যা: x=3 এবং y=4 বসালে, (২×৩ + ৩×৪) / (৩×৩ - ২×৪) = (৬+১২) / (৯-৮) = ১৮/১ = ১৮।


১৯৫. ক ৫০০০ টাকা এবং খ ৭০০০ টাকা বিনিয়োগ করে একটি ব্যবসা শুরু করল। বছর শেষে ৩৬০০ টাকা লোকসান হলে ক এর লোকসানের পরিমাণ কত? ক. ১২০০ খ. ১৫০০ গ. ১৮০০ ঘ. ২১০০ | উত্তর: খ | ব্যাখ্যা: লাভ বা লোকসান মূলধনের অনুপাতে বন্টিত হয়। অনুপাত ৫:৭। মোট ১২ অংশ = ৩৬০০, ১ অংশ = ৩০০। ক এর লোকসান ৫ × ৩০০ = ১৫০০ টাকা।


১৯৬. A এর বয়স B এর চেয়ে ২ বছর বেশি এবং B এর বয়স C এর বয়সের দ্বিগুণ। ৩ জনের বয়সের সমষ্টি ২৭ বছর হলে B এর বয়স কত? ক. ৫ খ. ৮ গ. ১০ ঘ. ১২ | উত্তর: গ | ব্যাখ্যা: C=x, B=2x, A=2x+2। x + 2x + 2x+2 = 27 ⇒ 5x = 25 ⇒ x=5। B এর বয়স 2x = ২×৫ = ১০ বছর।


১৯৭. ২০ লিটার দুধ ও পানির মিশ্রণে অনুপাত ৩:১। মিশ্রণটি থেকে কী পরিমাণ তুলে নিয়ে সমপরিমাণ দুধ মেশালে নতুন অনুপাত ৪:১ হবে? ক. ২ লিটার খ. ৩ লিটার গ. ৪ লিটার ঘ. ৫ লিটার | উত্তর: গ | ব্যাখ্যা: শুরুতে দুধ ১৫, পানি ৫। x পরিমাণ তুললে পানি থাকে ৫ - x/৪। দুধ মেশালে নতুন দুধ হয় ১৫ - ৩x/৪ + x = ১৫ + x/৪। শর্তমতে (১৫ + x/৪)/(৫ - x/৪) = ৪/১ ⇒ ১৫ + x/৪ = ২০ - x ⇒ ৫x/৪ = ৫ ⇒ x = ৪ লিটার।


১৯৮. ৩ জন অংশীদার একটি ব্যবসায় ২:৩:৪ অনুপাতে মূলধন বিনিয়োগ করে। বছর শেষে তাদের লাভের অনুপাত ৪:৩:২ হলে, তাদের মূলধন খাটানোর সময়ের অনুপাত কত? ক. ২:১:১ খ. ৪:২:১ গ. ১:২:৪ ঘ. ৬:৩:২ | উত্তর: খ | ব্যাখ্যা: সময় = লাভ / মূলধন। অনুপাত = ৪/২ : ৩/৩ : ২/৪ = ২ : ১ : ১/২। ভগ্নাংশ দূর করতে ২ দিয়ে গুণ করলে ৪:২:১।


১৯৯. ২ বছর আগে এক ব্যক্তির বয়স তার পুত্রের বয়সের ৬ গুণ ছিল। ১৮ বছর পর তার বয়স পুত্রের বয়সের দ্বিগুণ হবে। পিতা ও পুত্রের বর্তমান বয়স কত? ক. ৩২, ৭ খ. ৩৪, ৯ গ. ৩৬, ৮ ঘ. ৩০, ৬ | উত্তর: ক | ব্যাখ্যা: (x-2)=6(y-2) এবং (x+18)=2(y+18) সমীকরণ দুটি সমাধান করলে x=32 এবং y=7 পাওয়া যায়। (অপশন টেস্ট করেও সরাসরি ২ বছর আগের বয়সের ৬ গুণ সম্পর্কটি ক অপশনে মেলে: ৩০ এবং ৫, যা ৬ গুণ)।


২০০. কোনো পরীক্ষায় পাস ও ফেলের অনুপাত ৪:১। যদি ৩০ জন পরীক্ষার্থী কম অংশ নিত এবং ২০ জন কম ফেল করত, তবে পাস ও ফেলের অনুপাত ৫:১ হতো। মোট কতজন পরীক্ষার্থী ছিল? ক. ৪০০ খ. ৪২০ গ. ৪৫০ ঘ. ৫০০ | উত্তর: গ | ব্যাখ্যা: মোট পরীক্ষার্থী ৫x, ফেল x। নতুন পরীক্ষার্থী ৫x-৩০, নতুন ফেল x-২০। নতুন পাস = (৫x-৩০) - (x-২০) = ৪x-১০। শর্তমতে (৪x-১০)/(x-২০) = ৫/১ ⇒ ৪x-১০ = ৫x-১০০ ⇒ x=৯০। মোট পরীক্ষার্থী ৫x = ৫×৯০ = ৪৫০ জন।
