পর্ব ১: সরল মুনাফার বেসিক (Simple Interest Basics: I = Pnr/100)
১. শতকরা বার্ষিক ৫ টাকা হার সুদে ৫০০ টাকার ৩ বছরের সুদ কত? ক. ৫০ খ. ৬০ গ. ৭৫ ঘ. ১০০ | উত্তর: গ | ব্যাখ্যা: I = Pnr/100 = (৫০০ × ৩ × ৫) / ১০০ = ৭৫ টাকা।
১৫৭. সরল সুদে কোনো আসল ২ বছরে সুদে-আসলে আসলের আড়াই (২.৫) গুণ হলে সুদের হার কত? ক. ৫০% খ. ৬০% গ. ৭৫% ঘ. ১০০% উত্তর: গ ব্যাখ্যা: আসল ১ টাকা হলে সুদ-আসল ২.৫ টাকা। অর্থাৎ সুদ ১.৫ টাকা। সুদের হার r = (১০০ × ১.৫) / ২ = ৭৫%।
১৫৮. শতকরা বার্ষিক কত হার সুদে কোনো আসল ৩ বছরে সুদে-আসলে দ্বিগুণ হবে? ক. ২৫% খ. ৩০% গ. ৩৩.৩৩% ঘ. ৪০% উত্তর: গ ব্যাখ্যা: দ্বিগুণ হওয়ার ক্ষেত্রে শর্টকাট: r = ১০০ / সময় = ১০০ / ৩ = ৩৩.৩৩%।
১৫৯. ১০% হার সুদে কোনো আসল কত বছরে সুদে-আসলে দ্বিগুণ হবে? ক. ৫ খ. ৮ গ. ১০ ঘ. ১২ উত্তর: গ ব্যাখ্যা: দ্বিগুণ হওয়ার ক্ষেত্রে সময় বের করার শর্টকাট: n = ১০০ / সুদের হার = ১০০ / ১০ = ১০ বছর।
১৬০. ৫% হার সুদে কোনো আসল কত বছরে সুদে-আসলে ৩ গুণ হবে? ক. ২০ খ. ৩০ গ. ৪০ ঘ. ৫০ উত্তর: গ ব্যাখ্যা: গুণ সংক্রান্ত সূত্র: n = ১০০(গুণ - ১) / হার = ১০০(৩ - ১) / ৫ = ২০০ / ৫ = ৪০ বছর।
১৬১. ৪% হার সুদে কোনো আসল কত বছরে সুদে-আসলে ৪ গুণ হবে? ক. ৫০ খ. ৬০ গ. ৭৫ ঘ. ১০০ উত্তর: গ ব্যাখ্যা: n = ১০০(৪ - ১) / ৪ = ৩০০ / ৪ = ৭৫ বছর।
১৬২. ২০% হার চক্রবৃদ্ধি সুদে ২ বছরে ১০০০ টাকার চক্রবৃদ্ধি সুদ কত? ক. ৪০০ খ. ৪২০ গ. ৪৪০ ঘ. ৪৬০ উত্তর: গ ব্যাখ্যা: C = ১০০০ × (১.২)² = ১০০০ × ১.৪৪ = ১৪৪০ টাকা। সুদ = ১৪৪০ - ১০০০ = ৪৪০ টাকা।
১৬৩. ১০% হার চক্রবৃদ্ধি সুদে ৩ বছরে ১০০০ টাকার চক্রবৃদ্ধি সুদ কত? ক. ৩০০ খ. ৩১০ গ. ৩২১ ঘ. ৩৩১ উত্তর: ঘ ব্যাখ্যা: C = ১০০০ × (১.১)³ = ১০০০ × ১.৩৩১ = ১৩৩১ টাকা। সুদ = ১৩৩১ - ১০০০ = ৩৩১ টাকা।
১৬৪. ৫% হার সুদে কোনো আসল ৪ বছরে সুদে-আসলে ১২০০ টাকা হলে আসল কত? ক. ৮০০ খ. ৯০০ গ. ১০০০ ঘ. ১১০০ উত্তর: গ ব্যাখ্যা: P = (১০০ × সুদ-আসল) / (১০০ + nr) = (১০০ × ১২০০) / (১০০ + ৪×৫) = ১২০০০০ / ১২০ = ১০০০ টাকা।
১৬৫. ১০% হার সুদে কোনো আসল ৫ বছরে সুদে-আসলে ১৫০০ টাকা হলে আসল কত? ক. ৮০০ খ. ৯০০ গ. ১০০০ ঘ. ১২০০ উত্তর: গ ব্যাখ্যা: P = (১০০ × ১৫০০) / (১০০ + ৫০) = ১৫০০০০ / ১৫০ = ১০০০ টাকা।
১৬৬. কোনো আসলের ২ বছরের চক্রবৃদ্ধি সুদ ১০৫ টাকা এবং সরল সুদ ১০০ টাকা হলে সুদের হার কত? ক. ৫% খ. ৮% গ. ১০% ঘ. ১২% উত্তর: গ ব্যাখ্যা: ২ বছরের সরল সুদ ১০০ হলে ১ বছরের সরল সুদ ৫০। ২য় বছরে চক্রবৃদ্ধি সুদের ক্ষেত্রে এই ৫০ টাকার ওপর অতিরিক্ত ৫ টাকা (১০৫-১০০) সুদ হয়। হার = (৫/৫০) × ১০০ = ১০%।
১৬৭. ২ বছরের চক্রবৃদ্ধি সুদ ৪১০ টাকা এবং সরল সুদ ৪০০ টাকা হলে সুদের হার কত? ক. ৪% খ. ৫% গ. ৮% ঘ. ১০% উত্তর: খ ব্যাখ্যা: ১ বছরের সরল সুদ ২০০। অতিরিক্ত ১০ টাকা সুদ হয় ২০০ টাকার ওপর। হার = (১০/২০০) × ১০০ = ৫%।
১৬৮. বার্ষিক ২০% হার সুদে ষান্মাসিক (অর্ধ-বার্ষিক) চক্রবৃদ্ধিতে ১ বছরে ১০০০০ টাকার সুদ কত? ক. ২০০০ খ. ২১০০ গ. ২২০০ ঘ. ২৪০০ উত্তর: খ ব্যাখ্যা: ষান্মাসিক হলে হার অর্ধেক (১০%) এবং ১ বছরে পর্ব দুটি। C = ১০০০০ × (১.১)² = ১২১০০ টাকা। সুদ = ২১০০ টাকা।
১৬৯. ১০% হার সুদে ষান্মাসিক চক্রবৃদ্ধিতে ১ বছরে ৪০০০ টাকার সুদ কত? ক. ৪০০ খ. ৪১০ গ. ৪২০ ঘ. ৪৩০ উত্তর: খ ব্যাখ্যা: হার ৫%, পর্ব ২টি। C = ৪০০০ × (১.০৫)² = ৪০০০ × ১.১০২৫ = ৪৪১০ টাকা। সুদ = ৪১০ টাকা।
১৭০. কোনো আসলের ২ বছরের সরল সুদ আসলের ৮/২৫ অংশ হলে সুদের হার কত? ক. ১২% খ. ১৪% গ. ১৬% ঘ. ২০% উত্তর: গ ব্যাখ্যা: আসল ২৫ ধরলে ২ বছরের সুদ ৮। হার r = (১০০ × ৮) / (২৫ × ২) = ১৬%।
১৭১. কোনো আসলের ৩ বছরের সরল সুদ আসলের ৯/২৫ অংশ হলে সুদের হার কত? ক. ১০% খ. ১২% গ. ১৫% ঘ. ১৮% উত্তর: খ ব্যাখ্যা: আসল ২৫ টাকা হলে ৩ বছরের সুদ ৯ টাকা। r = (১০০ × ৯) / (২৫ × ৩) = ১২%।
১৭২. সরল সুদের হার ও সময় সমান হলে এবং সুদ আসলের ১/৯ অংশ হলে সুদের হার কত? ক. ২.৫% খ. ৩% গ. ৩.৩৩% ঘ. ৪% উত্তর: গ ব্যাখ্যা: r = n। সূত্র: I = Pnr/১০০। ১ = ৯ × r × r / ১০০ ⇒ r² = ১০০/৯ ⇒ r = ১০/৩ = ৩.৩৩%।
১৭৩. সরল সুদের হার ও সময় সমান এবং সুদ আসলের ১৬/২৫ অংশ হলে সুদের হার কত? ক. ৬% খ. ৮% গ. ১০% ঘ. ১২% উত্তর: খ ব্যাখ্যা: r² = (১০০ × ১৬) / ২৫ = ৬৪ ⇒ r = √৬৪ = ৮%।
১৭৪. ৬% হার সুদে ৯০০ টাকার ৫ বছরের সুদ কত? ক. ২৫০ খ. ২৬০ গ. ২৭০ ঘ. ২৮০ উত্তর: গ ব্যাখ্যা: (৯০০ × ৬ × ৫) / ১০০ = ২৭০ টাকা।
১৭৫. ৭% হার সুদে ৮০০ টাকার ৩ বছরের সুদ কত? ক. ১৫৬ খ. ১৬৮ গ. ১৭২ ঘ. ১৮০ উত্তর: খ ব্যাখ্যা: (৮০০ × ৭ × ৩) / ১০০ = ১৬৮ টাকা।
১৭৬. বার্ষিক ১০% হার চক্রবৃদ্ধি সুদে ২০০০ টাকার ১.৫ বছরের সুদ কত (ষান্মাসিক হিসেবে)? ক. ৩০০ খ. ৩১০.২৫ গ. ৩১৫.২৫ ঘ. ৩২০ উত্তর: গ ব্যাখ্যা: ষান্মাসিক হার ৫%, ১.৫ বছরে পর্ব ৩টি। C = ২০০০ × (১.০৫)³ = ২০০০ × ১.১৫৭৬২৫ = ২৩১৫.২৫। সুদ = ৩১৫.২৫ টাকা।
১৭৭. ২০% হার সুদে ২৫০০ টাকার ৩ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য কত? ক. ৩০০ খ. ৩১০ গ. ৩২০ ঘ. ৩৩০ উত্তর: গ ব্যাখ্যা: ৩ বছরের পার্থক্য = P(r/১০০)² × (৩ + r/১০০) = ২৫০০ × (১/২৫) × ৩.২ = ১০০ × ৩.২ = ৩২০ টাকা।
১৭৮. ৫% হার সুদে ৮০০০ টাকার ৩ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য কত? ক. ৫০ খ. ৫৫ গ. ৬০ ঘ. ৬১ উত্তর: ঘ ব্যাখ্যা: পার্থক্য = ৮০০০ × (১/৪০০) × ৩.০৫ = ২০ × ৩.০৫ = ৬১ টাকা।
১৭৯. কোনো আসল চক্রবৃদ্ধি সুদে ৫ বছরে দ্বিগুণ হলে, ২০ বছরে কত গুণ হবে? ক. ৮ খ. ১২ গ. ১৬ ঘ. ৩২ উত্তর: গ ব্যাখ্যা: ২০ বছরে ৫ বছরের সাইকেল আছে ৪টি। তাই এটি (২)⁴ = ১৬ গুণ হবে।
১৮০. কোনো আসল চক্রবৃদ্ধি সুদে ৪ বছরে ৩ গুণ হলে, ১২ বছরে কত গুণ হবে? ক. ৯ খ. ১৮ গ. ২৭ ঘ. ৮১ উত্তর: গ ব্যাখ্যা: ১২ বছরে ৪ বছরের সাইকেল আছে ৩টি। তাই এটি (৩)³ = ২৭ গুণ হবে।
১৮১. ১০% হার সুদে ১০০০ টাকার ৩ বছরের সবৃদ্ধিমূল (সুদ-আসল) কত? ক. ১৩০০ খ. ১৩২১ গ. ১৩৩১ ঘ. ১৩৪১ উত্তর: গ ব্যাখ্যা: C = ১০০০ × (১.১)³ = ১৩৩১ টাকা।
১৮২. ৫% হার সুদে ২০০০ টাকার ২ বছরের সবৃদ্ধিমূল কত? ক. ২১০০ খ. ২১০৫ গ. ২২০৫ ঘ. ২২৫০ উত্তর: গ ব্যাখ্যা: C = ২০০০ × (১.০৫)² = ২০০০ × ১.১০২৫ = ২২০৫ টাকা।
১৮৩. ১২% হার সুদে কোনো আসল ৫ বছরে ৯৬০ টাকা সুদ দিলে আসল কত? ক. ১৫০০ খ. ১৬০০ গ. ১৭০০ ঘ. ১৮০০ উত্তর: খ ব্যাখ্যা: P = (১০০ × ৯৬০) / (১২ × ৫) = ৯৬০০০ / ৬০ = ১৬০০ টাকা।
১৮৪. ১৫% হার সুদে কত টাকার ৪ বছরের সুদ ৩০০ টাকা? ক. ৪০০ খ. ৫০০ গ. ৬০০ ঘ. ৭০০ উত্তর: খ ব্যাখ্যা: P = (১০০ × ৩০০) / (১৫ × ৪) = ৩০০০০ / ৬০ = ৫০০ টাকা।
১৮৫. একটি মেশিনের দাম প্রতি বছর ১০% কমে। বর্তমান দাম ৮১০০ টাকা হলে ২ বছর আগে দাম কত ছিল? ক. ৯০০০ খ. ১০০০০ গ. ১১০০০ ঘ. ১২০০০ উত্তর: খ ব্যাখ্যা: P × (০.৯)² = ৮১০০ ⇒ P × ০.৮১ = ৮১০০ ⇒ P = ১০০০০ টাকা।
১৮৬. একটি শহরের জনসংখ্যা ৫% হারে বাড়ে। বর্তমান জনসংখ্যা ১০,০০০ হলে ২ বছর পর জনসংখ্যা কত হবে? ক. ১০০২৫ খ. ১০৫০০ গ. ১১০২৫ ঘ. ১১৫০০ উত্তর: গ ব্যাখ্যা: C = ১০০০০ × (১.০৫)² = ১০০০০ × ১.১০২৫ = ১১০২৫ জন।
১৮৭. সুদের হার ৫% থেকে কমে ৪% হওয়ায় এক ব্যক্তির আয় ২০ টাকা কমে গেল। তার আসল কত? ক. ১৫০০ খ. ২০০০ গ. ২৫০০ ঘ. ৩০০০ উত্তর: খ ব্যাখ্যা: সুদের হার কমেছে ১%। ১% = ২০ টাকা হলে ১০০% = ২০০০ টাকা।
১৮৮. সুদের হার ৬% থেকে বেড়ে ৮% হওয়ায় আয় ৪০ টাকা বাড়ল। আসল কত? ক. ১৫০০ খ. ২০০০ গ. ২৫০০ ঘ. ৩০০০ উত্তর: খ ব্যাখ্যা: সুদের হার বেড়েছে ২%। ২% = ৪০ টাকা হলে ১০০% = ২০০০ টাকা।
১৮৯. বার্ষিক ৪.৫% সুদে ৪৫০ টাকার ২ বছরের সুদ কত? ক. ৪০ খ. ৪০.৫ গ. ৪১ ঘ. ৪১.৫ উত্তর: খ ব্যাখ্যা: I = (৪৫০ × ২ × ৪.৫) / ১০০ = ৪০.৫ টাকা।
১৯০. ১২.৫% হার সুদে কোনো আসল কত বছরে দ্বিগুণ হবে? ক. ৬ খ. ৭ গ. ৮ ঘ. ১০ উত্তর: গ ব্যাখ্যা: দ্বিগুণ হওয়ার ক্ষেত্রে সময় = ১০০ / সুদের হার = ১০০ / ১২.৫ = ৮ বছর।
১৯১. ১৬.৬৭% হার সুদে কোনো আসল কত বছরে সুদে-আসলে দ্বিগুণ হবে? ক. ৪ খ. ৫ গ. ৬ ঘ. ৭ উত্তর: গ ব্যাখ্যা: সময় = ১০০ / ১৬.৬৭ = ১০০ / (৫০/৩) = ৬ বছর।
১৯২. চক্রবৃদ্ধি সুদে কোনো আসল ২ বছরে ১২১০ টাকা এবং ৩ বছরে ১৩৩১ টাকা হলে সুদের হার কত? ক. ৮% খ. ১০% গ. ১২% ঘ. ১৫% উত্তর: খ ব্যাখ্যা: ৩য় বছরের শুরুতে আসল ১২১০ টাকা, বছর শেষে সুদ-আসল ১৩৩১ টাকা। ১ বছরের সুদ = ১৩৩১ - ১২১০ = ১২১ টাকা। হার = (১২১ / ১২১০) × ১০০ = ১০%।
১৯৩. চক্রবৃদ্ধি সুদে কোনো আসল ২ বছরে ৪৪১০ টাকা এবং ৩ বছরে ৪৬৩০.৫ টাকা হলে সুদের হার কত? ক. ৪% খ. ৫% গ. ৬% ঘ. ৮% উত্তর: খ ব্যাখ্যা: ১ বছরের সুদ = ৪৬৩০.৫ - ৪৪১০ = ২২০.৫ টাকা। হার = (২২০.৫ / ৪৪১০) × ১০০ = ৫%।
১৯৪. সরল সুদে কোনো আসল ৩ বছরে ৮১৫ টাকা এবং ৪ বছরে ৮৫৪ টাকা হলে আসল কত? ক. ৬৫৬ খ. ৬৯০ গ. ৬৯৮ ঘ. ৭০০ উত্তর: গ ব্যাখ্যা: ১ বছরের সুদ = ৮৫৪ - ৮১৫ = ৩৯ টাকা। ৩ বছরের সুদ = ৩৯ × ৩ = ১১৭ টাকা। আসল = ৮১৫ - ১১৭ = ৬৯৮ টাকা।
১৯৫. সরল সুদে কোনো আসল ৪ বছরে ৭১২ টাকা এবং ৬ বছরে ৭৮৪ টাকা হলে আসল কত? ক. ৫৪৬ খ. ৫৬৮ গ. ৫৯০ ঘ. ৬১২ উত্তর: খ ব্যাখ্যা: ২ বছরের সুদ = ৭৮৪ - ৭১২ = ৭২ টাকা। ১ বছরের সুদ ৩৬ টাকা। ৪ বছরের সুদ = ৩৬ × ৪ = ১৪৪ টাকা। আসল = ৭১২ - ১৪৪ = ৫৬৮ টাকা।
১৯৬. ৫% চক্রবৃদ্ধি সুদে ১০০০০ টাকার ২ বছরের সুদ কত? ক. ১০০০ খ. ১০২৫ গ. ১০৫০ ঘ. ১১০০ উত্তর: খ ব্যাখ্যা: C = ১০০০০ × (১.০৫)² = ১০০০০ × ১.১০২৫ = ১১০২৫ টাকা। সুদ = ১১০২৫ - ১০০০০ = ১০২৫ টাকা।
১৯৭. ১০% চক্রবৃদ্ধি সুদে ৫০০০ টাকার ২ বছরের সুদ কত? ক. ১০০০ খ. ১০২৫ গ. ১০৫০ ঘ. ১১০০ উত্তর: গ ব্যাখ্যা: C = ৫০০০ × (১.১)² = ৫০০০ × ১.২১ = ৬০৫০ টাকা। সুদ = ৬০৫০ - ৫০০০ = ১০৫০ টাকা।
১৯৮. বার্ষিক ৪% হার সুদে ১০০০ টাকার ১.৫ বছরের চক্রবৃদ্ধি সুদ কত (ষান্মাসিক হিসাবে)? ক. ৬০.৫ খ. ৬১.২ গ. ৬১.২১ ঘ. ৬২ উত্তর: গ ব্যাখ্যা: ষান্মাসিক হার ২%, পর্ব ৩টি। C = ১০০০ × (১.০২)³ = ১০০০ × ১.০৬১২০৮ = ১০৬১.২১ টাকা। সুদ = ৬১.২১ টাকা।
১৯৯. ১০% হার সুদে কত টাকার ২ বছরের চক্রবৃদ্ধি ও সরল সুদের পার্থক্য ৫০ টাকা হবে? ক. ৪০০০ খ. ৪৫০০ গ. ৫০০০ ঘ. ৫৫০০ উত্তর: গ ব্যাখ্যা: D = P(r/১০০)² ⇒ ৫০ = P × (১/১০০) ⇒ P = ৫০০০ টাকা।
২০০. কোনো আসল ৮% হার সুদে ৩ বছরে সুদে-আসলে ৬২০ টাকা হলে আসল কত? ক. ৪০০ খ. ৫০০ গ. ৫৫০ ঘ. ৬০০ উত্তর: খ ব্যাখ্যা: P = (১০০ × ৬২০) / (১০০ + ২৪) = ৬২০০০ / ১২৪ = ৫০০ টাকা।
